CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21166000,NORWICH ST,HARRISON ST,,,,HARRISON ST intersection,,24724
21168000,HARRISON ST,PRECITA AVE,,,,PRECITA AVE intersection,,16395
21168000,PRECITA AVE,HARRISON ST,,,,HARRISON ST intersection,,27275
21170000,ALABAMA ST,26TH ST,,,,26TH ST intersection,,4514
21170000,26TH ST,ALABAMA ST,,,,ALABAMA ST intersection,,3223
21171000,PRECITA AVE,HARRISON ST,,,,HARRISON ST intersection,,27266
21171000,HARRISON ST,PRECITA AVE,,,,PRECITA AVE intersection,,16394
21172000,FOLSOM ST,PRECITA AVE,,,,PRECITA AVE intersection,,13570
21172000,PRECITA AVE,FOLSOM ST,,,,FOLSOM ST intersection,,27264
21173000,HARRISON ST,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,16392
21173000,CESAR CHAVEZ ST,HARRISON ST,,,,HARRISON ST intersection,,9050
21174000,26TH ST,HARRISON ST,,,,HARRISON ST intersection,,3225
21174000,HARRISON ST,26TH ST,,,,26TH ST intersection,,16388
21175000,FOLSOM ST,BESSIE ST \ PRECITA AVE,,,,BESSIE ST \ PRECITA AVE intersection,,13572
21175000,BESSIE ST,FOLSOM ST \ PRECITA AVE,,,,FOLSOM ST \ PRECITA AVE intersection,,6784
21175000,PRECITA AVE,BESSIE ST \ FOLSOM ST,,,,BESSIE ST \ FOLSOM ST intersection,,27271
21176000,BESSIE ST,MANCHESTER ST,,,,MANCHESTER ST intersection,,6782
21176000,MANCHESTER ST,BESSIE ST,,,,BESSIE ST intersection,,21751
21177000,CESAR CHAVEZ ST,FOLSOM ST,,,,FOLSOM ST intersection,,9053
21177000,FOLSOM ST,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,13568
21178000,FOLSOM ST,26TH ST,,,,26TH ST intersection,,13564
21178000,26TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,3231
21180000,ELLSWORTH ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,12381
21180000,CRESCENT AVE,ELLSWORTH ST,,,,ELLSWORTH ST intersection,,10552
21181000,ANDERSON ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,4951
21181000,CRESCENT AVE,ANDERSON ST,,,,ANDERSON ST intersection,,10550
21183000,OGDEN AVE,ELLSWORTH ST,,,,ELLSWORTH ST intersection,,25206
21183000,ELLSWORTH ST,OGDEN AVE,,,,OGDEN AVE intersection,,12379
21184000,GATES ST,OGDEN AVE,,,,OGDEN AVE intersection,,14429
21184000,OGDEN AVE,GATES ST,,,,GATES ST intersection,,25208
21185000,OGDEN AVE,ANDERSON ST,,,,ANDERSON ST intersection,,25204
21185000,ANDERSON ST,OGDEN AVE,,,,OGDEN AVE intersection,,4949
21186000,CRESCENT AVE,MOULTRIE ST,,,,MOULTRIE ST intersection,,10548
21186000,MOULTRIE ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,23961
21187000,ANDOVER ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,4976
21187000,CRESCENT AVE,ANDOVER ST,,,,ANDOVER ST intersection,,10546
21188000,TOMPKINS AVE,ANDERSON ST,,,,ANDERSON ST intersection,,31990
21188000,ANDERSON ST,TOMPKINS AVE,,,,TOMPKINS AVE intersection,,4947
21189000,MOULTRIE ST,OGDEN AVE,,,,OGDEN AVE intersection,,23959
21189000,OGDEN AVE,MOULTRIE ST,,,,MOULTRIE ST intersection,,25202
21190000,ANDOVER ST,OGDEN AVE,,,,OGDEN AVE intersection,,4972
21190000,OGDEN AVE,ANDOVER ST,,,,ANDOVER ST intersection,,25200
21191000,MOULTRIE ST,TOMPKINS AVE,,,,TOMPKINS AVE intersection,,23957
21191000,TOMPKINS AVE,MOULTRIE ST,,,,MOULTRIE ST intersection,,31988
